abbrev,bibtype,doi,url,year,month,conference,location,country,city,author,title
mascot_num_2019,poster,,,2019,mar,MASCOT-NUM,IFPEN,France,Paris,Steven Golovkine,Clustering multivariate functional data defined on random domains: An application to vehicle trajectories analysis
sfds_2019,presentation,,,2019,jun,51èmes Journées de Statistique,Université de Lorraine,France,Nancy,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Données fonctionnelles avec erreur hétéroscédastique
stat_mod_2020,presentation,,,2020,nov,Statistical Modeling with Applications,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees
cfe_cmstat_2020,presentation,,,2020,dec,13th International Conference of the ERCIM WG on Computational and Methodological Statistics,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees
hunter_2021,presentation,,,2021,mar,"Mathematics Seminars, Hunter College",Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees
sfds_2021,presentation,,,2021,jun,52èmes Journées de Statistique,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Classification de données fonctionnelles multivariées par arbres binaires non-supervisées
eysm_2021,presentation,,,2021,sep,22nd European Young Statisticians Meeting,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Clustering multivariate functional data using unsupervised binary trees
cfe_cmstat_2021,presentation,,,2021,dec,14th International Conference of the ERCIM WG on Computational and Methodological Statistics,Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Adaptive optimal estimation of irregular mean and covariance functions
ysp_2022,presentation,,,2022,feb,10ème Journées YSP (Young Statisticians and Probabilists),Virtual Conference,,,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees
simtalk_2022_02,presentation,,,2022,feb,SIM Talk,University of Limerick,Ireland,Limerick,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Multivariate functional data clustering using unsupervised binary trees
sfds_2022,presentation,,,2022,jun,53èmes Journées de Statistique,Université Claude Bernard,France,Lyon,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Learning the regularity of the curves in functional data analysis with applications
sds_2022,presentation,,,2022,aug,CSDA & EcoSta Workshop on Statistical Data Science,University of Bologna,Italy,Bologna,Steven Golovkine and Nicolas Klutchnikov and Valentin Patilea,Learning the regularity of the curves in functional data analysis with applications
simtalk_2022_10,presentation,,,2022,oct,SIM Talk,University of Limerick,Ireland,Limerick,Juliana Antero and Tom Chassard and Steven Golovkine and Alice Meignié,On the influence of the menstrual cycle on female athlete performance: A case study of cycling
casi_2023,presentation,,,2023,may,43rd Conference on Applied Statistics in Ireland,University of Limerick,Ireland,Limerick,Steven Golovkine and Edward Gunning and Andrew J. Simpkin and Norma Bargary,On the geometric interpreation of multivariate functional principal components analysis and the usage of the Gram matrix
sfds_2023,presentation,,,2023,jun,54èmes Journées de Statistique,Univeristé libre de Bruxelles,Belgium,Brussels,Steven Golovkine and Edward Gunning and Andrew J. Simpkin and Norma Bargary,On the geometric interpreation of multivariate functional principal components analysis and the usage of the Gram matrix
iwsm_2023,presentation,,,2023,jul,37th International Workshop on Statistical Modeling,University of Dortmund,Germany,Dortmund,Steven Golovkine and Tom Chassard and Alice Meignié and Emmanuel Brunet and Jean-François Toussaint and Juliana Antero,Functional multilevel modeling of the influence of the menstrual cycle on the performance of female cyclists
